record_id,breed_id,breed,condition_label,condition_name,domain,trust_level,chief_complaint,signal_symptoms,medical_history,clinical_summary
beagle-ear-001,beagle,Beagle,ear_infection_bacterial,Bacterial Otitis Externa,dermatology,74,"Strong ear odor and constant head shaking.","ear odor|head shaking|brown discharge","Long-eared Beagle with prior allergy history.","The pendulous ear anatomy and discharge pointed to bacterial otitis externa."
beagle-epi-001,beagle,Beagle,epilepsy,Idiopathic Epilepsy,neurologic,76,"Brief generalized seizure with normal recovery afterward.","seizure|paddling|postictal pacing","Young adult Beagle with no toxin exposure.","Breed-linked idiopathic epilepsy was a key concern after a self-limited generalized seizure."
beagle-obesity-001,beagle,Beagle,obesity_related,Obesity-related Mobility Disease,metabolic,72,"Weight gain and slower stair climbing.","weight gain|exercise intolerance|joint soreness","Food-motivated Beagle with reduced exercise routine.","Excess body condition was worsening mobility and endurance."
rott-ccl-001,rottweiler,Rottweiler,ccl_rupture,Cranial Cruciate Ligament Rupture,orthopedic,78,"Acute hindlimb lameness after turning sharply in the yard.","non weight bearing lameness|stifle pain|toe touching","Large athletic dog with sudden pivot injury.","Stifle instability and breed size favored cruciate rupture."
rott-bone-001,rottweiler,Rottweiler,bone_cancer,Appendicular Osteosarcoma,oncology,80,"Progressive forelimb pain with localized swelling near the wrist.","forelimb pain|swelling|lameness","Middle-aged giant-breed dog with worsening pain at rest.","Breed risk and focal bone pain made osteosarcoma a critical concern."
rott-hip-001,rottweiler,Rottweiler,hip_dysplasia,Hip Dysplasia,orthopedic,75,"Difficulty standing after rest and reduced willingness to run.","hip pain|stiffness|bunny hopping","Young adult Rottweiler with chronic hindlimb stiffness.","Large-breed hip laxity remained a leading explanation for the gait changes."
gsp-bloat-001,german_shorthaired_pointer,German Shorthaired Pointer,bloat,Gastric Dilatation,gastrointestinal,76,"Nonproductive retching and sudden abdominal enlargement after exercise.","retching|abdominal distension|restlessness","Deep-chested sporting dog after water intake and exercise.","Acute gastric distension signs in a pointer warranted urgent bloat concern."
gsp-ccl-001,german_shorthaired_pointer,German Shorthaired Pointer,ccl_rupture,Cranial Cruciate Ligament Rupture,orthopedic,74,"Rear limb lameness after a hard field turn.","hindlimb lameness|stifle pain|swelling","Highly active hunting dog with abrupt pivot injury.","Athletic stifle trauma fit cruciate ligament injury."
gsp-hip-001,german_shorthaired_pointer,German Shorthaired Pointer,hip_dysplasia,Hip Dysplasia,orthopedic,72,"Chronic bunny hopping and stiffness after runs.","bunny hopping|stiff gait|difficulty rising","Young sporting dog with persistent post-exercise soreness.","Hip pain and gait changes stayed consistent with breed-associated hip dysplasia."
dach-ivdd-001,dachshund,Dachshund,ivdd,Intervertebral Disc Disease,neurologic,80,"Sudden back pain and trembling after jumping off furniture.","back pain|shaking|reluctance to move","Long-backed dog with prior mild stiffness episodes.","Acute spinal pain in a Dachshund strongly fit intervertebral disc disease."
dach-obesity-001,dachshund,Dachshund,obesity_related,Obesity-related Mobility Disease,metabolic,74,"Heavy body condition with worsening stair hesitation.","weight gain|reduced stamina|stiff gait","Indoor Dachshund with frequent treats and low activity.","Excess body weight was amplifying mobility complaints and spinal strain."
dach-diabetes-001,dachshund,Dachshund,diabetes,Diabetes Mellitus,endocrine,72,"Drinking more water and losing weight despite normal appetite.","excess thirst|frequent urination|weight loss","Middle-aged Dachshund with gradual household accidents.","Classic polyuria and polydipsia made diabetes mellitus a key endocrine concern."
